('1', '3', '+', '4', '+', '6', '+')  =  14
('1', '3', '+', '4', '+', '6', '+')  =  14
('1', '3', '+', '4', '6', '+', '+')  =  14
('1', '3', '+', '4', '6', '+', '+')  =  14
('1', '3', '+', '6', '+', '4', '+')  =  14
('1', '3', '+', '6', '+', '4', '+')  =  14
('1', '3', '+', '6', '4', '+', '+')  =  14
('1', '3', '+', '6', '4', '+', '+')  =  14
('1', '3', '+', '4', '+', '6', '+')  =  14
('1', '3', '+', '4', '+', '6', '+')  =  14
('1', '3', '+', '4', '6', '+', '+')  =  14
('1', '3', '+', '4', '6', '+', '+')  =  14
('1', '3', '+', '6', '+', '4', '+')  =  14
('1', '3', '+', '6', '+', '4', '+')  =  14
('1', '3', '+', '6', '4', '+', '+')  =  14
('1', '3', '+', '6', '4', '+', '+')  =  14
('1', '3', '+', '4', '+', '6', '+')  =  14
('1', '3', '+', '4', '+', '6', '+')  =  14
('1', '3', '+', '4', '6', '+', '+')  =  14
('1', '3', '+', '4', '6', '+', '+')  =  14
('1', '3', '+', '6', '+', '4', '+')  =  14
('1', '3', '+', '6', '+', '4', '+')  =  14
('1', '3', '+', '6', '4', '+', '+')  =  14
('1', '3', '+', '6', '4', '+', '+')  =  14
('1', '3', '4', '+', '+', '6', '+')  =  14
('1', '3', '4', '+', '+', '6', '+')  =  14
('1', '3', '4', '+', '6', '+', '+')  =  14
('1', '3', '4', '+', '6', '+', '+')  =  14
('1', '3', '4', '+', '+', '6', '+')  =  14
('1', '3', '4', '+', '+', '6', '+')  =  14
('1', '3', '4', '+', '6', '+', '+')  =  14
('1', '3', '4', '+', '6', '+', '+')  =  14
('1', '3', '4', '+', '+', '6', '+')  =  14
('1', '3', '4', '+', '+', '6', '+')  =  14
('1', '3', '4', '+', '6', '+', '+')  =  14
('1', '3', '4', '+', '6', '+', '+')  =  14
('1', '3', '4', '6', '+', '+', '+')  =  14
('1', '3', '4', '6', '+', '+', '+')  =  14
('1', '3', '4', '6', '+', '+', '+')  =  14
('1', '3', '4', '6', '+', '+', '+')  =  14
('1', '3', '4', '6', '+', '+', '+')  =  14
('1', '3', '4', '6', '+', '+', '+')  =  14
('1', '3', '6', '+', '+', '4', '+')  =  14
('1', '3', '6', '+', '+', '4', '+')  =  14
('1', '3', '6', '+', '4', '+', '+')  =  14
('1', '3', '6', '+', '4', '+', '+')  =  14
('1', '3', '6', '+', '+', '4', '+')  =  14
('1', '3', '6', '+', '+', '4', '+')  =  14
('1', '3', '6', '+', '4', '+', '+')  =  14
('1', '3', '6', '+', '4', '+', '+')  =  14
('1', '3', '6', '+', '+', '4', '+')  =  14
('1', '3', '6', '+', '+', '4', '+')  =  14
('1', '3', '6', '+', '4', '+', '+')  =  14
('1', '3', '6', '+', '4', '+', '+')  =  14
('1', '3', '6', '4', '+', '+', '+')  =  14
('1', '3', '6', '4', '+', '+', '+')  =  14
('1', '3', '6', '4', '+', '+', '+')  =  14
('1', '3', '6', '4', '+', '+', '+')  =  14
('1', '3', '6', '4', '+', '+', '+')  =  14
('1', '3', '6', '4', '+', '+', '+')  =  14
('1', '4', '+', '3', '+', '6', '+')  =  14
('1', '4', '+', '3', '+', '6', '+')  =  14
('1', '4', '+', '3', '6', '+', '+')  =  14
('1', '4', '+', '3', '6', '+', '+')  =  14
('1', '4', '+', '6', '+', '3', '+')  =  14
('1', '4', '+', '6', '+', '3', '+')  =  14
('1', '4', '+', '6', '3', '+', '+')  =  14
('1', '4', '+', '6', '3', '+', '+')  =  14
('1', '4', '+', '3', '+', '6', '+')  =  14
('1', '4', '+', '3', '+', '6', '+')  =  14
('1', '4', '+', '3', '6', '+', '+')  =  14
('1', '4', '+', '3', '6', '+', '+')  =  14
('1', '4', '+', '6', '+', '3', '+')  =  14
('1', '4', '+', '6', '+', '3', '+')  =  14
('1', '4', '+', '6', '3', '+', '+')  =  14
('1', '4', '+', '6', '3', '+', '+')  =  14
